head,head_id,relation,tail,tail_id,confidence,source,sentence
图灵,E_PER_TURING,提出,图灵机,E_PROD_TM,0.97,trigger_window,此外，图灵提出的著名的图灵机模型为现代计算机的逻辑工作方式奠定了基础。
GC&CS,E_ORG_GCCS,破译,恩尼格玛密码机,E_PROD_ENIGMA,0.97,trigger_window,他与高级GC&CS密码破译员第利温·诺克斯一起专注于对德国使用的恩尼格玛密码机进行密码分析。
乔治六世国王,E_PER_GEORGE6,获授,大英帝国勋章,E_PROD_OBE,0.97,trigger_window,[42]因此，尽管图灵在 1946 年被乔治六世国王任命为大英帝国勋章(OBE)，以表彰他在战时的服务，但他的工作多年来一直保密。
图灵,E_PER_TURING,获授,大英帝国勋章,E_PROD_OBE,0.93,pattern,[42]因此，尽管图灵在 1946 年被乔治六世国王任命为大英帝国勋章(OBE)，以表彰他在战时的服务，但他的工作多年来一直保密。
图灵,E_PER_TURING,提出,图灵测试,E_PROD_TT,0.97,trigger_window,图灵在对人工智能的研究中，提出了一个叫做图灵测试的实验，尝试定出一个决定机器是否有感觉的标准。
英国女王伊丽莎白二世,E_PER_ELIZABETH2,赦免,艾伦·图灵,E_PER_TURING,0.97,trigger_window,2013年12月24日，英国司法部宣布英国女王伊丽莎白二世赦免1952年因同性恋行为被定罪的艾伦·图灵，不过有抗议者指出应将此赦免令范围扩大到所有和图灵同时代且受到同样待遇的同性恋者。
英国司法部,E_ORG_MOJ_UK,赦免,艾伦·图灵,E_PER_TURING,0.93,pattern,2013年12月24日，英国司法部宣布英国女王伊丽莎白二世赦免1952年因同性恋行为被定罪的艾伦·图灵，不过有抗议者指出应将此赦免令范围扩大到所有和图灵同时代且受到同样待遇的同性恋者。
